y,dNdeta,dNdy,PreEq,Hydro
0,2240,3.15584,3.0364,0.119433
0,2240,2.94415,2.82223,0.121916
0,2240,2.38929,2.26522,0.124073
0,2240,2.59819,2.48474,0.113443
0,2240,2.91943,2.79116,0.128267
0,2240,2.68776,2.56757,0.12019
0,2240,2.60525,2.48003,0.12522
0,2240,2.8997,2.78625,0.113449
0,2240,2.66222,2.53797,0.124252
0,2240,2.78256,2.66537,0.117196
0,2240,2.73193,2.61838,0.113553
0,2240,2.58574,2.46848,0.117258
0,2240,2.67678,2.55795,0.118829
0,2240,2.53777,2.42172,0.11605
0,2240,2.59588,2.47991,0.115979
0,2240,2.86318,2.74105,0.122129
0,2240,2.62354,2.50538,0.118157
0,2240,2.5426,2.42125,0.12135
0,2240,2.81106,2.69063,0.120431
0,2240,2.71401,2.59513,0.118883
0,2240,3.04047,2.92001,0.120458
0,2240,2.69817,2.58084,0.117329
0,2240,2.87034,2.75066,0.119676
0,2240,2.69915,2.58762,0.111532
0,2240,2.675,2.55816,0.116845
0,2240,2.80288,2.68274,0.120143
0,2240,2.77755,2.66209,0.11546
0,2240,2.66582,2.54745,0.118368
0,2240,2.67672,2.55058,0.126133
0,2240,2.76785,2.65036,0.117488
0,2240,2.63075,2.51508,0.115666
0,2240,2.79527,2.67804,0.11723
0,2240,2.65373,2.54257,0.111164
0,2240,3.11312,2.99116,0.121962
0,2240,2.89722,2.77309,0.124127
0,2240,2.62708,2.51678,0.1103
0,2240,2.60137,2.48342,0.117948
0,2240,2.65462,2.53718,0.117441
0,2240,2.8393,2.72261,0.116693
0,2240,2.5354,2.4175,0.117903
0,2240,2.6576,2.53786,0.119743
0,2240,2.80777,2.68789,0.119878
0,2240,2.53397,2.42013,0.113838
0,2240,2.59277,2.47641,0.116361
0,2240,2.86492,2.7464,0.118517
0,2240,2.55915,2.43949,0.119662
0,2240,2.71144,2.5997,0.11174
0,2240,2.83135,2.70732,0.124028
0,2240,2.60004,2.47868,0.12136
0,2240,2.79313,2.67445,0.118679
0,2240,2.80308,2.69004,0.113036
0,2240,2.82946,2.72006,0.109404
0,2240,2.8768,2.76481,0.111994
0,2240,3.05071,2.93218,0.118532
0,2240,2.58528,2.47276,0.112524
0,2240,2.59698,2.48632,0.110667
0,2240,2.74204,2.62652,0.115518
0,2240,2.73547,2.62514,0.110328
0,2240,2.7546,2.6246,0.129998
0,2240,2.64117,2.51856,0.122603
0,2240,2.87293,2.7532,0.11973
0,2240,2.98964,2.87249,0.117156
0,2240,2.76408,2.64304,0.121034
0,2240,2.64889,2.53576,0.113129
0,2240,2.60268,2.48973,0.112952
0,2240,2.93699,2.81778,0.11921
0,2240,2.57662,2.46225,0.114371
0,2240,2.68037,2.55854,0.121828
0,2240,2.50934,2.39129,0.118051
0,2240,2.62551,2.50987,0.115635
0,2240,2.7498,2.62901,0.120795
