y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.0969,2.02477,0.0721382
0,2240,2.30669,2.24257,0.0641202
0,2240,2.8885,2.82604,0.0624569
0,2240,3.04614,2.97217,0.0739737
0,2240,2.46783,2.39406,0.0737675
0,2240,2.51406,2.45761,0.0564533
0,2240,2.79817,2.72008,0.0780877
0,2240,2.09401,2.03386,0.0601512
0,2240,2.96761,2.8987,0.0689103
0,2240,2.73282,2.65962,0.0732053
0,2240,2.63524,2.57985,0.0553858
0,2240,1.53011,1.45443,0.0756757
0,2240,2.84267,2.77437,0.0682986
0,2240,2.5546,2.48198,0.0726124
0,2240,2.15741,2.0992,0.0582089
0,2240,2.45262,2.38185,0.0707713
0,2240,2.18363,2.11033,0.0732965
0,2240,2.69642,2.63476,0.0616658
0,2240,2.06949,1.97578,0.0937059
0,2240,2.66404,2.61318,0.0508576
0,2240,2.13376,2.06876,0.065004
0,2240,2.37534,2.31272,0.0626121
0,2240,2.08159,2.02307,0.0585212
0,2240,3.30882,3.24788,0.0609397
0,2240,2.26687,2.20317,0.0636953
0,2240,2.38963,2.3221,0.0675294
0,2240,2.74283,2.69427,0.0485575
0,2240,2.63557,2.56348,0.0720892
0,2240,2.02284,1.9505,0.0723353
0,2240,1.76605,1.70422,0.061829
0,2240,1.80886,1.73842,0.0704445
0,2240,1.99782,1.91554,0.0822774
0,2240,2.36866,2.29275,0.0759105
0,2240,1.40606,1.34401,0.0620536
0,2240,3.40624,3.34111,0.065134
0,2240,2.10007,2.04169,0.0583849
0,2240,1.70948,1.62144,0.0880383
0,2240,2.34142,2.27744,0.0639757
0,2240,2.65246,2.5717,0.0807613
0,2240,2.36073,2.2934,0.0673293
0,2240,1.9311,1.86596,0.0651357
0,2240,1.94639,1.88374,0.0626456
0,2240,2.16829,2.09315,0.0751308
0,2240,3.43343,3.3691,0.0643314
0,2240,1.8367,1.77043,0.0662674
0,2240,2.67606,2.60567,0.0703875
0,2240,1.59803,1.54201,0.0560142
0,2240,2.50383,2.43749,0.0663385
0,2240,2.47006,2.41832,0.0517347
